Load,month,day
72,6,1
33,6,1
45,6,1
42,6,1
48,6,1
51,6,1
51,6,1
87,6,1
228,6,1
234,6,1
363,6,1
222,6,1
270,6,1
219,6,1
198,6,1
276,6,1
171,6,1
162,6,1
123,6,1
93,6,1
99,6,1
93,6,1
75,6,1
63,6,1
63,6,2
33,6,2
42,6,2
36,6,2
45,6,2
48,6,2
48,6,2
66,6,2
255,6,2
204,6,2
279,6,2
273,6,2
315,6,2
195,6,2
330,6,2
240,6,2
234,6,2
165,6,2
138,6,2
114,6,2
96,6,2
93,6,2
75,6,2
60,6,2
57,6,3
42,6,3
45,6,3
45,6,3
48,6,3
51,6,3
48,6,3
45,6,3
60,6,3
81,6,3
105,6,3
90,6,3
93,6,3
48,6,3
72,6,3
93,6,3
96,6,3
69,6,3
114,6,3
33,6,3
81,6,3
75,6,3
45,6,3
40,6,3
35,6,4
27,6,4
42,6,4
45,6,4
45,6,4
45,6,4
48,6,4
57,6,4
42,6,4
93,6,4
72,6,4
102,6,4
150,6,4
45,6,4
84,6,4
120,6,4
171,6,4
126,6,4
78,6,4
36,6,4
84,6,4
78,6,4
66,6,4
63,6,4
21,6,5
15,6,5
42,6,5
48,6,5
48,6,5
51,6,5
48,6,5
48,6,5
75,6,5
93,6,5
102,6,5
111,6,5
114,6,5
102,6,5
108,6,5
114,6,5
111,6,5
111,6,5
105,6,5
87,6,5
99,6,5
99,6,5
78,6,5
60,6,5
63,6,6
27,6,6
39,6,6
48,6,6
45,6,6
45,6,6
51,6,6
75,6,6
237,6,6
309,6,6
318,6,6
333,6,6
330,6,6
324,6,6
309,6,6
315,6,6
261,6,6
177,6,6
138,6,6
108,6,6
114,6,6
99,6,6
75,6,6
66,6,6
66,6,7
36,6,7
42,6,7
48,6,7
45,6,7
54,6,7
48,6,7
72,6,7
246,6,7
300,6,7
315,6,7
309,6,7
273,6,7
252,6,7
267,6,7
273,6,7
255,6,7
126,6,7
129,6,7
93,6,7
90,6,7
84,6,7
66,6,7
54,6,7
57,6,8
27,6,8
39,6,8
42,6,8
39,6,8
42,6,8
42,6,8
54,6,8
171,6,8
210,6,8
237,6,8
234,6,8
225,6,8
219,6,8
234,6,8
240,6,8
198,6,8
144,6,8
117,6,8
90,6,8
84,6,8
81,6,8
63,6,8
54,6,8
54,6,9
39,6,9
33,6,9
39,6,9
42,6,9
42,6,9
45,6,9
57,6,9
153,6,9
210,6,9
222,6,9
225,6,9
216,6,9
213,6,9
246,6,9
240,6,9
207,6,9
147,6,9
129,6,9
108,6,9
90,6,9
81,6,9
63,6,9
51,6,9
21,6,10
12,6,10
33,6,10
39,6,10
39,6,10
45,6,10
39,6,10
51,6,10
168,6,10
240,6,10
240,6,10
225,6,10
201,6,10
168,6,10
207,6,10
228,6,10
186,6,10
138,6,10
111,6,10
78,6,10
81,6,10
72,6,10
57,6,10
54,6,10
39,6,11
36,6,11
33,6,11
33,6,11
39,6,11
39,6,11
36,6,11
45,6,11
63,6,11
81,6,11
99,6,11
111,6,11
105,6,11
93,6,11
84,6,11
93,6,11
102,6,11
108,6,11
90,6,11
84,6,11
87,6,11
81,6,11
63,6,11
51,6,11
57,6,12
30,6,12
36,6,12
42,6,12
42,6,12
42,6,12
42,6,12
42,6,12
54,6,12
75,6,12
90,6,12
84,6,12
87,6,12
84,6,12
84,6,12
96,6,12
87,6,12
84,6,12
78,6,12
72,6,12
75,6,12
69,6,12
57,6,12
54,6,12
51,6,13
27,6,13
33,6,13
42,6,13
39,6,13
39,6,13
39,6,13
57,6,13
195,6,13
258,6,13
261,6,13
285,6,13
273,6,13
243,6,13
297,6,13
330,6,13
267,6,13
183,6,13
132,6,13
96,6,13
105,6,13
99,6,13
81,6,13
51,6,13
54,6,14
33,6,14
36,6,14
42,6,14
39,6,14
45,6,14
39,6,14
60,6,14
201,6,14
255,6,14
276,6,14
291,6,14
264,6,14
222,6,14
249,6,14
246,6,14
210,6,14
135,6,14
105,6,14
96,6,14
99,6,14
90,6,14
75,6,14
54,6,14
60,6,15
30,6,15
36,6,15
42,6,15
39,6,15
45,6,15
39,6,15
48,6,15
162,6,15
189,6,15
213,6,15
303,6,15
177,6,15
204,6,15
267,6,15
225,6,15
174,6,15
126,6,15
90,6,15
69,6,15
69,6,15
63,6,15
57,6,15
51,6,15
60,6,16
33,6,16
27,6,16
30,6,16
39,6,16
42,6,16
39,6,16
51,6,16
150,6,16
216,6,16
237,6,16
246,6,16
264,6,16
192,6,16
225,6,16
243,6,16
201,6,16
150,6,16
111,6,16
93,6,16
90,6,16
87,6,16
78,6,16
57,6,16
51,6,17
33,6,17
36,6,17
42,6,17
42,6,17
45,6,17
42,6,17
57,6,17
210,6,17
300,6,17
279,6,17
291,6,17
297,6,17
246,6,17
270,6,17
270,6,17
216,6,17
171,6,17
138,6,17
102,6,17
93,6,17
93,6,17
87,6,17
63,6,17
57,6,18
36,6,18
39,6,18
48,6,18
45,6,18
48,6,18
45,6,18
48,6,18
57,6,18
78,6,18
84,6,18
90,6,18
93,6,18
87,6,18
105,6,18
117,6,18
111,6,18
99,6,18
93,6,18
84,6,18
84,6,18
78,6,18
66,6,18
63,6,18
66,6,19
42,6,19
42,6,19
45,6,19
48,6,19
54,6,19
48,6,19
48,6,19
75,6,19
99,6,19
105,6,19
111,6,19
111,6,19
99,6,19
111,6,19
111,6,19
114,6,19
114,6,19
105,6,19
81,6,19
93,6,19
78,6,19
69,6,19
54,6,19
57,6,20
36,6,20
39,6,20
45,6,20
45,6,20
45,6,20
48,6,20
60,6,20
204,6,20
279,6,20
306,6,20
306,6,20
282,6,20
267,6,20
303,6,20
318,6,20
261,6,20
192,6,20
165,6,20
111,6,20
96,6,20
87,6,20
75,6,20
66,6,20
57,6,21
39,6,21
39,6,21
51,6,21
42,6,21
48,6,21
51,6,21
66,6,21
255,6,21
289,6,21
318,6,21
321,6,21
351,6,21
240,6,21
288,6,21
336,6,21
282,6,21
198,6,21
144,6,21
120,6,21
111,6,21
90,6,21
72,6,21
72,6,21
60,6,22
39,6,22
39,6,22
48,6,22
45,6,22
48,6,22
51,6,22
66,6,22
225,6,22
294,6,22
303,6,22
318,6,22
336,6,22
291,6,22
318,6,22
321,6,22
264,6,22
189,6,22
129,6,22
102,6,22
102,6,22
90,6,22
72,6,22
69,6,22
